osm_id,name,lat,lon,source
308227975,Автомойка,55.7028677,37.4575857,OpenStreetMap Overpass API
308227985,Автомойка,55.7077017,37.4840546,OpenStreetMap Overpass API
308228036,Автомойка,55.7229319,37.4791179,OpenStreetMap Overpass API
308228054,Автомойка,55.7232966,37.4792751,OpenStreetMap Overpass API
308228160,Автомойка,55.7189558,37.4502339,OpenStreetMap Overpass API
308228228,Автомойка,55.7143205,37.4582895,OpenStreetMap Overpass API
308228336,Автомойка,55.7065815,37.4553337,OpenStreetMap Overpass API
308235501,Автомойка,55.7267701,37.4956954,OpenStreetMap Overpass API
317523334,Автомойка,55.5771819,37.5690983,OpenStreetMap Overpass API
317812130,Автомойка,55.5728244,37.5642891,OpenStreetMap Overpass API
318124169,Автомойка,55.8750775,37.5582107,OpenStreetMap Overpass API
356516996,Автомойка,55.9138131,37.837707,OpenStreetMap Overpass API
365383472,Автомойка,55.7293354,37.6173277,OpenStreetMap Overpass API
369331854,Автомойка,55.6554544,37.5578492,OpenStreetMap Overpass API
385810463,Автомойка,55.7578104,37.7154062,OpenStreetMap Overpass API
385954688,Автомойка,55.7060457,37.8453281,OpenStreetMap Overpass API
417789496,Avtoclean,55.6468823,37.4751247,OpenStreetMap Overpass API
419638311,Автомойка,55.9258509,37.8560069,OpenStreetMap Overpass API
428918978,Автомойка,55.711199,37.5068969,OpenStreetMap Overpass API
430941087,Автомойка,55.5980706,37.7262924,OpenStreetMap Overpass API
433443220,Автомойка,55.6769971,37.8563284,OpenStreetMap Overpass API
444559062,Автомойка,55.670698,37.4474813,OpenStreetMap Overpass API
481979803,Автомойка,55.7150059,37.4595043,OpenStreetMap Overpass API
482862614,Автомойка,55.7276523,37.4194319,OpenStreetMap Overpass API
483002312,Автомойка,55.8118026,37.3870234,OpenStreetMap Overpass API
483002323,Автомойка,55.8138621,37.3909131,OpenStreetMap Overpass API
494963177,Автомойка,55.6897717,37.6001064,OpenStreetMap Overpass API
500007673,Автомойка,55.8216986,37.5903841,OpenStreetMap Overpass API
500008007,Автомойка,55.8361279,37.5794137,OpenStreetMap Overpass API
505572679,Автомойка,55.6998287,37.7914532,OpenStreetMap Overpass API
517373693,Автомойка,55.6123671,37.7178545,OpenStreetMap Overpass API
527738012,Автомойка,55.8803678,37.6696167,OpenStreetMap Overpass API
529398115,Автомойка,55.6775516,37.4845682,OpenStreetMap Overpass API
529400841,Автомойка,55.6894848,37.4855802,OpenStreetMap Overpass API
529537742,Автомойка,55.5782689,37.5779553,OpenStreetMap Overpass API
534742390,Автомойка,55.6999768,37.8565116,OpenStreetMap Overpass API
595359947,Портал,55.701154,37.6050147,OpenStreetMap Overpass API
596564948,Автобаня,55.6565742,37.7421081,OpenStreetMap Overpass API
601257660,Автомойка,55.6508755,37.759585,OpenStreetMap Overpass API
601257671,Автомойка,55.6555037,37.7541598,OpenStreetMap Overpass API
601377122,Автомойка,55.7215326,37.7406361,OpenStreetMap Overpass API
604021124,Автомойка,55.4910687,37.3260568,OpenStreetMap Overpass API
609628707,Автомойка,55.6702141,37.902518,OpenStreetMap Overpass API
609628718,Автомойка,55.6713299,37.9002971,OpenStreetMap Overpass API
609734196,Автомойка,55.5483761,37.5261072,OpenStreetMap Overpass API
609735323,Автомойка,55.5301942,37.5281938,OpenStreetMap Overpass API
610506602,Автомойка,55.8140544,37.3924671,OpenStreetMap Overpass API
611076914,Автомойка,55.6778853,37.9042672,OpenStreetMap Overpass API
611650058,Автомойка,55.6683785,37.7414665,OpenStreetMap Overpass API
612036557,Автомойка,55.6136677,37.5400294,OpenStreetMap Overpass API
612574292,Автомойка,55.7544726,37.5619578,OpenStreetMap Overpass API
613107913,Автомойка,55.5408843,37.5324048,OpenStreetMap Overpass API
613401626,Автомойка,55.9307247,37.503176,OpenStreetMap Overpass API
614515195,Автомойка,55.7170303,37.5103436,OpenStreetMap Overpass API
614515207,Автомойка,55.7406096,37.4052706,OpenStreetMap Overpass API
616493834,ЕвроШИК,55.6970871,37.4619515,OpenStreetMap Overpass API
618687884,Автомойка,55.7944064,37.4064173,OpenStreetMap Overpass API
620370407,Автомойка,55.9603171,37.6609124,OpenStreetMap Overpass API
621175266,Автомойка,55.6693424,37.4916809,OpenStreetMap Overpass API
623561168,Автомойка,55.7068998,37.7092217,OpenStreetMap Overpass API
633132252,Автомойка,55.6159601,37.5093315,OpenStreetMap Overpass API
655272276,Автомойка,55.8259767,37.3531697,OpenStreetMap Overpass API
662765997,Автомойка,55.9396091,38.0318716,OpenStreetMap Overpass API
665322299,Автомойка,55.643382,37.4720997,OpenStreetMap Overpass API
668516757,Автомойка,55.8523746,37.585675,OpenStreetMap Overpass API
675760911,Портал,55.6878756,37.4742169,OpenStreetMap Overpass API
677347556,Автомойка,55.7373267,37.5403373,OpenStreetMap Overpass API
677347561,Автомойка,55.7839072,37.6225284,OpenStreetMap Overpass API
677363677,K8 detailing,55.8367389,37.4422898,OpenStreetMap Overpass API
678313647,Портал,55.6507657,37.5348771,OpenStreetMap Overpass API
679462345,Автомойка,55.802507,37.7558706,OpenStreetMap Overpass API
679681876,Триумф-Сервис,55.7469986,37.5397942,OpenStreetMap Overpass API
681793684,Автомойка,55.7510619,37.7084953,OpenStreetMap Overpass API
681793689,Detailing Bar,55.7505593,37.7102095,OpenStreetMap Overpass API
683494534,Автомойка,55.7525533,37.5328039,OpenStreetMap Overpass API
690199945,Автомойка,55.6332756,37.7010552,OpenStreetMap Overpass API
690199950,Автомойка,55.6339939,37.7020563,OpenStreetMap Overpass API
699978160,Автомойка,55.6318027,37.9771287,OpenStreetMap Overpass API
701015500,Автомойка,55.8275518,37.9008826,OpenStreetMap Overpass API
708425854,Автомойка,55.9733287,37.7277616,OpenStreetMap Overpass API
708860366,Автомойка,55.7155307,37.7562191,OpenStreetMap Overpass API
717390923,Автомойка,55.6161646,37.96652,OpenStreetMap Overpass API
738936071,Автомойка,55.7953796,37.5943971,OpenStreetMap Overpass API
741343797,Автомойка,55.7411836,37.5150845,OpenStreetMap Overpass API
767527391,Автомойка,55.6457302,37.5607172,OpenStreetMap Overpass API
767527449,Автомойка,55.6499272,37.5594257,OpenStreetMap Overpass API
779048722,Автомойка,55.747539,37.765099,OpenStreetMap Overpass API
807993225,Автомойка,55.6171644,37.4728534,OpenStreetMap Overpass API
813931958,Автолайт,55.7334392,37.6645261,OpenStreetMap Overpass API
842942214,Автомойка,55.6954384,37.4089758,OpenStreetMap Overpass API
849944130,Автомойка,55.5085635,37.5594342,OpenStreetMap Overpass API
849976170,Автомойка,55.5101234,37.574685,OpenStreetMap Overpass API
858224865,ЛоскАвто,55.788718,37.389378,OpenStreetMap Overpass API
902642675,Автомойка,55.8062871,37.5613676,OpenStreetMap Overpass API
903820965,Автомойка,55.6129958,37.590279,OpenStreetMap Overpass API
903826656,акваИМЕНС,55.6834844,37.5527448,OpenStreetMap Overpass API
910534791,Автомойка,55.6990362,37.8648107,OpenStreetMap Overpass API
910738716,Автомойка,55.6790237,37.9082197,OpenStreetMap Overpass API
924267395,Автомойка МИД,55.7365937,37.5015902,OpenStreetMap Overpass API
927222339,Автомойка,55.8746376,37.7077535,OpenStreetMap Overpass API
927327172,Автомойка,55.8816534,37.7123904,OpenStreetMap Overpass API
928524971,Автомойка,55.5954172,37.5990662,OpenStreetMap Overpass API
937887326,Эсперо,55.6439821,37.5864957,OpenStreetMap Overpass API
938559363,Эталон,55.8351294,37.4471945,OpenStreetMap Overpass API
939090085,Автомойка,55.7416683,37.5565862,OpenStreetMap Overpass API
939090094,Автомойка,55.7418773,37.555796,OpenStreetMap Overpass API
960519764,Автомойка,55.4978214,37.5683853,OpenStreetMap Overpass API
968028072,Автомойка,55.6972287,37.6663018,OpenStreetMap Overpass API
971038834,Автомойка,55.7435043,37.5120822,OpenStreetMap Overpass API
979487969,Портал,55.6575961,37.6414104,OpenStreetMap Overpass API
983352326,Автомойка,55.686325,37.6032119,OpenStreetMap Overpass API
984474180,Автомойка,55.834966,37.578821,OpenStreetMap Overpass API
984474193,Автомойка,55.8350126,37.5782762,OpenStreetMap Overpass API
997194270,Автомойка,55.8634439,37.6460602,OpenStreetMap Overpass API
1002536015,Автомойка,55.7884931,37.6626344,OpenStreetMap Overpass API
1002536050,Автомойка,55.7886212,37.6604875,OpenStreetMap Overpass API
1003094354,Chisto,55.8906512,37.7127995,OpenStreetMap Overpass API
1010542013,Автомойка,55.4922338,37.325361,OpenStreetMap Overpass API
1011434341,Автомойка,55.8530396,37.672007,OpenStreetMap Overpass API
1030139921,Автомойка,55.9380603,37.3154582,OpenStreetMap Overpass API
1036541526,CarWash74,55.7981688,37.9886419,OpenStreetMap Overpass API
1036541573,Автомойка,55.8374401,37.9505258,OpenStreetMap Overpass API
1036541750,Автомойка,55.8258108,37.9742797,OpenStreetMap Overpass API
1038195642,Автомойка,55.797452,37.9846848,OpenStreetMap Overpass API
